Gene_ID,Protein_Function,Locus
CA01g00010,Detected protein of unknown function,Pepper1.55ch01:63208-63880
CA01g00020,PREDICTED: protein ECERIFERUM 3-like [Solanum tuberosum],Pepper1.55ch01:112297-112938
CA01g00030,PREDICTED: isoleucine N-monooxygenase 1-like [Solanum tuberosum],Pepper1.55ch01:117978-118392
CA01g00040,PREDICTED: isoleucine N-monooxygenase 1-like [Solanum tuberosum],Pepper1.55ch01:119463-119712
CA01g00050,PREDICTED: isoleucine N-monooxygenase 1-like [Solanum lycopersicum],Pepper1.55ch01:119891-120101
CA01g00060,Transcription factor%2C putative,Pepper1.55ch01:132986-134420
CA01g00070,Soluble inorganic pyrophosphatase,Pepper1.55ch01:151369-152197
CA01g00080,Soluble inorganic pyrophosphatase,Pepper1.55ch01:152248-152879
CA01g00090,50S robosomal protein L11%2C putative,Pepper1.55ch01:154455-157084
CA01g00100,Brassinosteroid-responsive RING-H2%2C putative [Theobroma cacao],Pepper1.55ch01:157870-158407
CA01g00110,Beta-1%2C3-galactosyltransferase sqv-2%2C putative,Pepper1.55ch01:162799-166841
CA01g00120,Polyprotein%2C putative,Pepper1.55ch01:215837-216113
CA01g00130,Phosphatidylcholine transfer protein%2C putative,Pepper1.55ch01:230107-233088
CA01g00140,Granule-bound starch synthase I,Pepper1.55ch01:241094-244109
CA01g00150,Putative PD beta-1%2C3-glucanase 1 (Precursor),Pepper1.55ch01:246585-247836
CA01g00160,Ubiquitin carboxyl-terminal hydrolase,Pepper1.55ch01:248871-259480
CA01g00170,RING/FYVE/PHD zinc finger superfamily protein%2C putative isoform 1 [Theobroma cacao],Pepper1.55ch01:265706-270953
CA01g00180,Alcohol dehydrogenase%2C putative,Pepper1.55ch01:284567-288389
CA01g00190,Detected protein of unknown function,Pepper1.55ch01:301879-302614
CA01g00200,Hop-interacting protein THI143,Pepper1.55ch01:326048-328265
CA01g00210,PREDICTED: snurportin-1-like isoform X1 [Citrus sinensis],Pepper1.55ch01:336987-341544
CA01g00220,Nucleotide pyrophosphatase/phosphodiesterase,Pepper1.55ch01:342352-348661
CA01g00230,Calmodulin binding protein%2C putative,Pepper1.55ch01:374819-377351
CA01g00240,PREDICTED: growth-regulating factor 8-like [Solanum tuberosum],Pepper1.55ch01:379510-381191
CA01g00250,Branchless trichome [Theobroma cacao],Pepper1.55ch01:386662-387655
CA01g00260,Endo-1%2C4-beta-glucanase,Pepper1.55ch01:390410-392538
CA01g00270,Valacyclovir hydrolase%2C putative,Pepper1.55ch01:437428-442189
CA01g00280,MYC2,Pepper1.55ch01:448959-450264
CA01g00290,Tetratricopeptide repeat protein,Pepper1.55ch01:452342-452993
CA01g00300,PREDICTED: homeobox-leucine zipper protein ATHB-7-like [Solanum lycopersicum],Pepper1.55ch01:506733-507195
CA01g00310,PREDICTED: ubiquitin-60S ribosomal protein L40-like [Glycine max],Pepper1.55ch01:510582-511276
CA01g00320,Cystathionine gamma-synthase%2C putative,Pepper1.55ch01:528311-531947
CA01g00330,Alpha/beta hydrolase domain containing protein 1%2C3%2C putative,Pepper1.55ch01:538681-539193
CA01g00340,Unknown protein,Pepper1.55ch01:545233-545701
CA01g00350,Oligopeptide transporter%2C putative,Pepper1.55ch01:561232-563887
CA01g00360,Detected protein of unknown function,Pepper1.55ch01:572280-573088
CA01g00370,Serine/threonine protein kinase%2C putative,Pepper1.55ch01:576329-586638
CA01g00380,Unknown protein,Pepper1.55ch01:588139-588676
CA01g00390,Detected protein of unknown function,Pepper1.55ch01:607355-610584
CA01g00400,ATPase family AAA domain-containing protein 1,Pepper1.55ch01:612687-616397
CA01g00410,Detected protein of unknown function,Pepper1.55ch01:616990-620260
CA01g00420,ATOPT7,Pepper1.55ch01:644906-654935
CA01g00430,Oligopeptide transporter%2C putative,Pepper1.55ch01:655623-660507
CA01g00440,Serine/threonine protein kinase WNK8,Pepper1.55ch01:665041-668727
CA01g00450,Fas-associated factor 1-like protein,Pepper1.55ch01:670339-677249
CA01g00460,PREDICTED: aluminum-activated malate transporter 10 [Vitis vinifera],Pepper1.55ch01:681729-683818
CA01g00470,Bhlh transcription factor%2C putative,Pepper1.55ch01:686352-691086
CA01g00480,PREDICTED: ORM1-like protein 3-like [Cicer arietinum],Pepper1.55ch01:713931-724220
CA01g00490,F-box family protein,Pepper1.55ch01:726615-728294
CA01g00500,WD-repeat protein%2C putative,Pepper1.55ch01:741508-745978
CA01g00510,TT2 like MYB transcriptoin factor,Pepper1.55ch01:752365-753677
CA01g00520,Cytochrome C oxidase assembly protein cox11%2C putative,Pepper1.55ch01:756013-762232
CA01g00530,Trehalase,Pepper1.55ch01:780385-785542
CA01g00540,Trehalase,Pepper1.55ch01:786581-792156
CA01g00550,ABC transporter family protein,Pepper1.55ch01:796758-804700
CA01g00560,Carbon-nitrogen hydrolase family protein isoform 1 [Theobroma cacao],Pepper1.55ch01:817843-827835
CA01g00570,PREDICTED: luminal-binding protein 5-like [Fragaria vesca] subsp. vesca,Pepper1.55ch01:828969-833250
CA01g00580,Beta-amylase 3,Pepper1.55ch01:836081-841812
CA01g00590,PREDICTED: F-box/kelch-repeat protein At3g23880-like [Solanum tuberosum],Pepper1.55ch01:843967-844576
CA01g00600,PREDICTED: F-box/kelch-repeat protein At3g23880-like [Solanum tuberosum],Pepper1.55ch01:844635-845154
CA01g00610,PREDICTED: F-box/kelch-repeat protein At3g23880-like [Solanum tuberosum],Pepper1.55ch01:848428-848866
CA01g00620,Mitochondrial protein%2C putative,Pepper1.55ch01:877073-877502
CA01g00630,PREDICTED: F-box/kelch-repeat protein At3g23880-like [Solanum tuberosum],Pepper1.55ch01:886993-887416
CA01g00640,Ribonuclease,Pepper1.55ch01:933640-934484
CA01g00650,RNase Phy3 (Fragment),Pepper1.55ch01:963580-963976
CA01g00660,Beta-amylase 3,Pepper1.55ch01:986022-989200
CA01g00670,Hop-interacting protein THI007,Pepper1.55ch01:1048770-1052691
CA01g00680,Polyprotein,Pepper1.55ch01:1063049-1063958
CA01g00690,Protein translocase secy subunit%2C putative,Pepper1.55ch01:1069387-1071175
CA01g00700,PREDICTED: bidirectional sugar transporter SWEET7-like [Solanum tuberosum],Pepper1.55ch01:1102995-1105633
CA01g00710,PREDICTED: mitochondrial pyruvate carrier 1-like isoform X1 [Solanum tuberosum],Pepper1.55ch01:1113784-1114254
CA01g00720,RNase Phy3 (Fragment),Pepper1.55ch01:1149085-1149874
CA01g00730,PREDICTED: F-box protein CPR30-like isoform X1 [Solanum tuberosum],Pepper1.55ch01:1181716-1182817
CA01g00740,Transcription factor%2C putative,Pepper1.55ch01:1268637-1273767
CA01g00750,DNA binding protein%2C putative,Pepper1.55ch01:1291730-1296543
CA01g00760,PREDICTED: uncharacterized LOC101209453 [Cucumis sativus],Pepper1.55ch01:1299388-1301689
CA01g00770,Protein ABIL2%2C putative,Pepper1.55ch01:1310315-1312117
CA01g00780,26S proteasome non-ATPase regulatory subunit,Pepper1.55ch01:1315531-1322660
CA01g00790,Structural constituent of ribosome%2C putative,Pepper1.55ch01:1328957-1331735
CA01g00800,Ring finger protein%2C putative,Pepper1.55ch01:1337518-1337923
CA01g00810,Cellulose synthase-like protein CslG,Pepper1.55ch01:1368503-1380407
CA01g00820,Auxin response factor 9,Pepper1.55ch01:1388317-1391226
CA01g00830,3-oxoacyl-[acyl-carrier-protein] synthase,Pepper1.55ch01:1426645-1428856
CA01g00840,3-oxoacyl-[acyl-carrier-protein] synthase,Pepper1.55ch01:1433496-1435591
CA01g00850,Detected protein of unknown function,Pepper1.55ch01:1443137-1443749
CA01g00860,Detected protein of unknown function,Pepper1.55ch01:1444438-1444963
CA01g00870,PREDICTED: B2 protein-like [Cicer arietinum],Pepper1.55ch01:1505421-1508517
CA01g00880,Electron transporter%2C putative,Pepper1.55ch01:1513734-1514802
CA01g00890,PREDICTED: RNA polymerase II transcriptional coactivator KELP-like [Vitis vinifera],Pepper1.55ch01:1520424-1520769
CA01g00900,transcriptional coactivator KELP [Arabidopsis thaliana],Pepper1.55ch01:1522133-1524266
CA01g00910,Unknown protein,Pepper1.55ch01:1527144-1528648
CA01g00920,F-box family protein,Pepper1.55ch01:1529733-1535782
CA01g00930,PREDICTED: F-box/kelch-repeat protein At3g23880-like [Solanum tuberosum],Pepper1.55ch01:1542724-1543748
CA01g00940,PREDICTED: F-box/kelch-repeat protein At3g23880-like [Solanum tuberosum],Pepper1.55ch01:1546342-1546942
CA01g00950,Retrotransposon protein,Pepper1.55ch01:1550422-1551043
CA01g00960,PREDICTED: F-box/kelch-repeat protein At3g23880-like [Solanum tuberosum],Pepper1.55ch01:1552775-1553480
CA01g00970,PREDICTED: SUN domain-containing protein 2-like [Solanum tuberosum],Pepper1.55ch01:1559043-1561078
CA01g00980,Cell division protein isolog,Pepper1.55ch01:1567150-1574360
CA01g00990,PREDICTED: putative F-box protein At3g25750-like [Solanum lycopersicum],Pepper1.55ch01:1590775-1591588
CA01g01000,PREDICTED: putative F-box protein At3g25750-like [Solanum lycopersicum],Pepper1.55ch01:1600702-1601620
CA01g01010,PREDICTED: putative F-box protein At3g25750-like [Solanum lycopersicum],Pepper1.55ch01:1605729-1606164
CA01g01020,Glycerophosphoryl diester phosphodiesterase%2C putative,Pepper1.55ch01:1607331-1610432
CA01g01030,Glycerophosphoryl diester phosphodiesterase%2C putative,Pepper1.55ch01:1612777-1613171
CA01g01040,PREDICTED: putative F-box protein At3g25750-like [Solanum lycopersicum],Pepper1.55ch01:1614180-1614641
CA01g01050,PREDICTED: putative F-box protein At3g25750-like [Solanum lycopersicum],Pepper1.55ch01:1618291-1619419
CA01g01060,Cytokinin oxidase/dehydrogenase,Pepper1.55ch01:1621622-1625792
CA01g01070,PREDICTED: putative F-box protein At3g25750-like [Solanum lycopersicum],Pepper1.55ch01:1682884-1684018
CA01g01080,PREDICTED: F-box protein At2g26160-like isoform X4 [Solanum tuberosum],Pepper1.55ch01:1750439-1751802
CA01g01090,PREDICTED: putative E3 ubiquitin-protein ligase UBR7-like [Cucumis sativus],Pepper1.55ch01:1753821-1754250
CA01g01100,Ring finger protein%2C putative,Pepper1.55ch01:1764679-1769740
CA01g01110,Inner membrane protein,Pepper1.55ch01:1779815-1787327
CA01g01120,Putative long-chain acyl-CoA synthetase,Pepper1.55ch01:1798400-1807323
CA01g01130,cDNA%2C clone: J100063E16%2C full insert sequence,Pepper1.55ch01:1808578-1811253
CA01g01140,Protein phosphatase 2c%2C putative,Pepper1.55ch01:1835909-1838944
CA01g01150,Endo-1%2C4-beta-glucanase,Pepper1.55ch01:1840033-1846400
CA01g01160,PREDICTED: uncharacterized LOC101224558%2C partial [Cucumis sativus],Pepper1.55ch01:1870346-1870781
CA01g01170,DNA binding protein%2C putative,Pepper1.55ch01:1901508-1902420
CA01g01180,DNA primase,Pepper1.55ch01:1905059-1910830
CA01g01190,PREDICTED: F-box protein At2g26160-like isoform X2 [Solanum tuberosum],Pepper1.55ch01:1913519-1913804
CA01g01200,PREDICTED: F-box protein At2g26160-like isoform X1 [Solanum tuberosum],Pepper1.55ch01:1914093-1914642
CA01g01210,PREDICTED: abscisic acid receptor PYL8-like [Citrus sinensis],Pepper1.55ch01:1983360-1986823
CA01g01220,Polygalacturonase%2C putative,Pepper1.55ch01:1993746-1995339
CA01g01230,Detected protein of unknown function,Pepper1.55ch01:1995731-1996550
CA01g01240,Serine-threonine protein kinase%2C plant-type%2C putative,Pepper1.55ch01:2000056-2002370
CA01g01250,PA-domain containing subtilase family protein [Theobroma cacao],Pepper1.55ch01:2005855-2006789
CA01g01260,Os05g0214400 protein,Pepper1.55ch01:2010287-2014634
CA01g01270,Methanol inducible protein,Pepper1.55ch01:2015591-2016152
CA01g01280,WRKY transcription factor 21,Pepper1.55ch01:2038373-2040069
CA01g01290,Detected protein of unknown function,Pepper1.55ch01:2061374-2061866
CA01g01300,Proline transporter (Fragment),Pepper1.55ch01:2108092-2114513
CA01g01310,High mobility group family,Pepper1.55ch01:2125287-2127471
CA01g01320,PREDICTED: protein YLS7-like [Citrus sinensis],Pepper1.55ch01:2128555-2133250
CA01g01330,Detected protein of unknown function,Pepper1.55ch01:2138105-2142330
CA01g01340,MTERF-like protein isoform 2 [Theobroma cacao],Pepper1.55ch01:2150558-2151506
CA01g01350,Unknown protein,Pepper1.55ch01:2167916-2168219
CA01g01360,Binding protein,Pepper1.55ch01:2177381-2179142
CA01g01370,Grave disease carrier protein%2C putative,Pepper1.55ch01:2189073-2194629
CA01g01380,PREDICTED: myosin-9-like [Glycine max],Pepper1.55ch01:2195770-2199786
CA01g01390,PREDICTED: putative leucine-rich repeat-containing protein DDB_G0290503-like isoform X2 [Solanum tuberosum],Pepper1.55ch01:2212453-2213351
CA01g01400,Ubiquitin ligase protein cop1%2C putative,Pepper1.55ch01:2226525-2235221
CA01g01410,Serine-threonine protein kinase%2C putative,Pepper1.55ch01:2236335-2239328
CA01g01420,Unknown protein,Pepper1.55ch01:2241934-2242231
CA01g01430,PREDICTED: arabinogalactan peptide 20-like [Cucumis sativus],Pepper1.55ch01:2247658-2249059
CA01g01440,AP2/ERF domain-containing transcription factor,Pepper1.55ch01:2265699-2266656
CA01g01450,PREDICTED: ubiquitin-conjugating enzyme E2 10-like [Solanum lycopersicum],Pepper1.55ch01:2292178-2295280
CA01g01460,Leucine-rich repeat protein kinase family protein isoform 1 [Theobroma cacao],Pepper1.55ch01:2300258-2303766
CA01g01470,aldose 1-epimerase%2C putative [Ricinus communis],Pepper1.55ch01:2311147-2314868
CA01g01480,PREDICTED: putative late blight resistance protein homolog R1B-12-like [Solanum lycopersicum],Pepper1.55ch01:2392829-2393711
CA01g01490,PREDICTED: putative late blight resistance protein homolog R1B-12-like [Solanum lycopersicum],Pepper1.55ch01:2396132-2396678
CA01g01500,PREDICTED: putative late blight resistance protein homolog R1B-12-like [Solanum lycopersicum],Pepper1.55ch01:2399729-2402867
CA01g01510,PREDICTED: putative late blight resistance protein homolog R1B-12-like [Solanum lycopersicum],Pepper1.55ch01:2402976-2404035
CA01g01520,PREDICTED: putative late blight resistance protein homolog R1B-12-like [Solanum lycopersicum],Pepper1.55ch01:2404239-2404716
CA01g01530,PREDICTED: putative late blight resistance protein homolog R1B-12-like [Solanum lycopersicum],Pepper1.55ch01:2404796-2405705
CA01g01540,NBS-LRR type resistance protein,Pepper1.55ch01:2410939-2413603
CA01g01550,Os05g0302700 protein,Pepper1.55ch01:2419328-2421424
CA01g01560,PREDICTED: protein TPX2-like [Solanum lycopersicum],Pepper1.55ch01:2428757-2430509
CA01g01570,PREDICTED: protein TPX2-like [Solanum lycopersicum],Pepper1.55ch01:2431869-2436079
CA01g01580,PREDICTED: protein LURP-one-related 17-like isoform X1 [Solanum tuberosum],Pepper1.55ch01:2467647-2468980
CA01g01590,NADPH oxidase,Pepper1.55ch01:2534913-2547013
CA01g01600,Late embryogenesis abundant hydroxyproline-rich glycoprotein,Pepper1.55ch01:2558836-2559583
CA01g01610,Plant cell wall protein SlTFR88,Pepper1.55ch01:2578764-2579493
CA01g01620,PREDICTED: probable membrane-associated kinase regulator 2-like [Glycine max],Pepper1.55ch01:2583746-2585434
CA01g01630,Hydrolase%2C hydrolyzing O-glycosyl compounds%2C putative,Pepper1.55ch01:2600313-2602809
CA01g01640,Endoglucanase,Pepper1.55ch01:2603652-2606440
CA01g01650,PREDICTED: reticulon-like protein B1-like [Solanum tuberosum],Pepper1.55ch01:2611174-2613371
CA01g01660,ATP binding protein%2C putative,Pepper1.55ch01:2615101-2621100
CA01g01670,Detected protein of unknown function,Pepper1.55ch01:2625215-2627956
CA01g01680,Transcription factor%2C putative,Pepper1.55ch01:2635791-2637804
CA01g01690,Transmembrane protein TPARL%2C putative,Pepper1.55ch01:2655370-2661134
CA01g01700,PREDICTED: disease resistance response protein 206-like [Solanum tuberosum],Pepper1.55ch01:2663395-2663860
CA01g01710,PREDICTED: disease resistance response protein 206-like [Solanum tuberosum],Pepper1.55ch01:2666963-2667533
CA01g01720,disease resistance-responsive family protein [Arabidopsis lyrata] subsp. lyrata,Pepper1.55ch01:2669937-2670495
CA01g01730,PREDICTED: cation/H(+) antiporter 18-like [Solanum lycopersicum],Pepper1.55ch01:2676729-2681250
CA01g01740,Cation proton exchanger,Pepper1.55ch01:2693431-2696206
CA01g01750,Plasma membrane%2C putative [Theobroma cacao],Pepper1.55ch01:2754387-2757295
CA01g01760,Atpob1%2C putative,Pepper1.55ch01:2777208-2786094
CA01g01770,Detected protein of unknown function,Pepper1.55ch01:2787494-2788370
CA01g01780,Detected protein of unknown function,Pepper1.55ch01:2795259-2796201
CA01g01790,Multidrug resistance protein ABC transporter family (Fragment),Pepper1.55ch01:2809313-2815168
CA01g01800,Translation initiation factor IF-2,Pepper1.55ch01:2820678-2827308
CA01g01810,Vacuolar ATP synthase subunit E%2C putative,Pepper1.55ch01:2830677-2834833
CA01g01820,Beta-1%2C3-galactosyltransferase sqv-2%2C putative,Pepper1.55ch01:2837703-2844184
CA01g01830,AP2/ERF domain-containing transcription factor,Pepper1.55ch01:2851361-2853080
CA01g01840,PREDICTED: ethylene-responsive transcription factor ERF118-like [Cucumis sativus],Pepper1.55ch01:2859495-2860497
CA01g01850,PREDICTED: ethylene-responsive transcription factor ERF118-like [Cucumis sativus],Pepper1.55ch01:2864969-2866262
CA01g01860,PREDICTED: ethylene-responsive transcription factor ERF118-like [Cucumis sativus],Pepper1.55ch01:2866425-2867130
CA01g01870,ethylene-responsive transcription factor ERF118 [Arabidopsis thaliana],Pepper1.55ch01:2869104-2872143
CA01g01880,PREDICTED: ethylene-responsive transcription factor ERF118-like [Cucumis sativus],Pepper1.55ch01:2874805-2878378
CA01g01890,Detected protein of unknown function,Pepper1.55ch01:2883515-2892022
CA01g01900,PREDICTED: probable WRKY transcription factor 56-like [Solanum tuberosum],Pepper1.55ch01:2893312-2895834
CA01g01910,PREDICTED: endoglucanase-like [Solanum tuberosum],Pepper1.55ch01:2905232-2909770
CA01g01920,WRKY22,Pepper1.55ch01:2934403-2936271
CA01g01930,Unknown protein,Pepper1.55ch01:2945455-2945729
CA01g01940,PH01B015M02.2 protein,Pepper1.55ch01:2949906-2951471
CA01g01950,Detected protein of unknown function,Pepper1.55ch01:2951495-2953239
CA01g01960,Gypsy/Ty-3 retroelement polyprotein%3B 69905-74404,Pepper1.55ch01:2953241-2954630
CA01g01970,PREDICTED: 60S ribosomal protein L27-like [Solanum lycopersicum],Pepper1.55ch01:2958791-2959118
CA01g01980,Hydroxyproline-rich glycoprotein family protein [Theobroma cacao],Pepper1.55ch01:3012062-3012710
CA01g01990,Meiotic recombination protein SPO11-2,Pepper1.55ch01:3017167-3020247
CA01g02000,PREDICTED: zinc finger protein ZAT11-like [Solanum lycopersicum],Pepper1.55ch01:3020955-3021699
CA01g02010,PREDICTED: G patch domain-containing protein 4-like [Solanum tuberosum],Pepper1.55ch01:3022449-3027137
CA01g02020,2-C-methyl-D-erythritol 2%2C4-cyclodiphosphate synthase,Pepper1.55ch01:3028038-3030510
CA01g02030,2-C-methyl-D-erythritol 2%2C4-cyclodiphosphate synthase,Pepper1.55ch01:3035509-3036017
CA01g02040,1-aminocyclopropane-1-carboxylate synthase,Pepper1.55ch01:3046345-3048634
CA01g02050,1-aminocyclopropane-1-carboxylate synthase,Pepper1.55ch01:3053831-3056152
CA01g02060,Monodehydroascorbate reductase,Pepper1.55ch01:3071901-3078968
CA01g02070,PREDICTED: F-box protein At2g26160-like isoform X1 [Solanum tuberosum],Pepper1.55ch01:3086627-3087740
CA01g02080,PREDICTED: F-box protein At2g26160-like isoform X1 [Solanum tuberosum],Pepper1.55ch01:3088725-3089535
CA01g02090,Lipoxygenase,Pepper1.55ch01:3104149-3107319
CA01g02100,At1g63930,Pepper1.55ch01:3120223-3121441
CA01g02110,Aspartate carbamoyltransferase,Pepper1.55ch01:3123517-3125913
CA01g02120,Detected protein of unknown function,Pepper1.55ch01:3134382-3138660
CA01g02130,Transcription factor,Pepper1.55ch01:3147041-3150281
CA01g02140,MAP kinase,Pepper1.55ch01:3173278-3177283
CA01g02150,Polygalacturonase%2C putative,Pepper1.55ch01:3177691-3182580
CA01g02160,Detected protein of unknown function,Pepper1.55ch01:3209337-3209574
CA01g02170,PREDICTED: protein SPIRAL1-like 5-like [Solanum lycopersicum],Pepper1.55ch01:3221483-3222984
CA01g02180,Unknown protein,Pepper1.55ch01:3235170-3235380
CA01g02190,Nuclear transport factor 2 (NTF2) family protein,Pepper1.55ch01:3235556-3237125
CA01g02200,Detected protein of unknown function,Pepper1.55ch01:3239774-3241407
CA01g02210,PREDICTED: probable mitochondrial import inner membrane translocase subunit TIM21-like [Solanum tuberosum],Pepper1.55ch01:3250407-3252121
CA01g02220,Transferase%2C transferring glycosyl groups%2C putative,Pepper1.55ch01:3268571-3271516
CA01g02230,Vesicle docking protein P115%2C putative,Pepper1.55ch01:3274911-3285583
CA01g02240,BEL14 protein (Fragment),Pepper1.55ch01:3288967-3292263
CA01g02250,6-phosphofructo-2-kinase/fructose-2%2C 6-biphosphatase,Pepper1.55ch01:3318154-3320431
CA01g02260,BTB/POZ domain-containing protein isoform 1 [Theobroma cacao],Pepper1.55ch01:3322991-3325545
CA01g02270,PREDICTED: E3 ubiquitin-protein ligase RHA1B-like [Solanum lycopersicum],Pepper1.55ch01:3349137-3349506
CA01g02280,MRNA%2C %2C clone: RAFL25-03-N20,Pepper1.55ch01:3365099-3368159
CA01g02290,PREDICTED: zinc finger protein CONSTANS-like [Citrus sinensis],Pepper1.55ch01:3381343-3383947
CA01g02300,DNA repair and transcription factor XPB1,Pepper1.55ch01:3399456-3409258
CA01g02310,Xpa-binding protein%2C putative,Pepper1.55ch01:3415487-3420645
CA01g02320,AP-2 complex subunit beta-1%2C putative,Pepper1.55ch01:3427280-3437372
CA01g02330,Os04g0166600 protein,Pepper1.55ch01:3456354-3457639
CA01g02340,Protein binding protein%2C putative,Pepper1.55ch01:3471860-3474049
CA01g02350,DNA binding protein%2C putative,Pepper1.55ch01:3488442-3490984
CA01g02360,CDK activating kinase,Pepper1.55ch01:3499880-3507707
CA01g02370,PREDICTED: ubiquitin-conjugating enzyme E2 4-like [Citrus sinensis],Pepper1.55ch01:3537943-3538939
CA01g02380,Tir-nbs resistance protein,Pepper1.55ch01:3551037-3554031
CA01g02390,Peptidase M1 family protein,Pepper1.55ch01:3620746-3627792
CA01g02400,Detected protein of unknown function,Pepper1.55ch01:3644028-3644400
CA01g02410,Detected protein of unknown function,Pepper1.55ch01:3649073-3651179
CA01g02420,Detected protein of unknown function,Pepper1.55ch01:3656785-3657016
CA01g02430,Detected protein of unknown function,Pepper1.55ch01:3659471-3659726
CA01g02440,Detected protein of unknown function,Pepper1.55ch01:3699215-3700451
CA01g02450,PREDICTED: BTB/POZ domain-containing protein At5g41330-like [Solanum lycopersicum],Pepper1.55ch01:3703385-3704783
CA01g02460,Cytochrome P450 fatty acid omega-hydroxylase,Pepper1.55ch01:3719072-3720791
CA01g02470,Short-chain dehydrogenase%2C putative,Pepper1.55ch01:3722458-3727294
CA01g02480,Water channel protein,Pepper1.55ch01:3750247-3753256
CA01g02490,Minor histocompatibility antigen H13%2C putative,Pepper1.55ch01:3762974-3772853
CA01g02500,UDP-N-acetylmuramyl-tripeptide synthetase,Pepper1.55ch01:3777687-3781128
CA01g02510,Detected protein of unknown function,Pepper1.55ch01:3787283-3791053
CA01g02520,PREDICTED: GMP synthase [glutamine-hydrolyzing]-like [Solanum tuberosum],Pepper1.55ch01:3793386-3796117
CA01g02530,GMP synthase%2C putative,Pepper1.55ch01:3796266-3797708
CA01g02540,Myc-like anthocyanin regulatory protein,Pepper1.55ch01:3799919-3803489
CA01g02550,Unknown protein,Pepper1.55ch01:3810345-3811752
CA01g02560,Cutin deficient 2,Pepper1.55ch01:3820729-3821881
CA01g02570,Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein%2C putative isoform 2 [Theobroma cacao],Pepper1.55ch01:3823266-3823545
CA01g02580,Homeobox protein%2C putative,Pepper1.55ch01:3823574-3823862
CA01g02590,PREDICTED: homeobox-leucine zipper protein ANTHOCYANINLESS 2-like [Solanum tuberosum],Pepper1.55ch01:3825132-3827770
CA01g02600,PREDICTED: putative ribonuclease H protein At1g65750-like [Solanum tuberosum],Pepper1.55ch01:3835601-3835994
CA01g02610,Kinesin motor%2C calponin homology and calcium binding and coiled-coil domain-containing protein,Pepper1.55ch01:3836658-3841228
CA01g02620,PREDICTED: kinesin-4-like isoform X2 [Glycine max],Pepper1.55ch01:3841365-3843045
CA01g02630,Organic cation/carnitine transporter 3 [Theobroma cacao],Pepper1.55ch01:3864025-3865630
CA01g02640,Detected protein of confused Function,Pepper1.55ch01:3870948-3871507
